등록번호,서명,저자,발행처,발행연도,서고,청구기호
E566407,아이들이 쉬는 숨,"Hendrickson, Debra",흐름출판,2026,사회자연과학자료실(2층),539.9 H498aKㄴ
E566408,암세포의 진화,"Aktipis, Athena",(주)열린책들,2026,사회자연과학자료실(2층),513.994 A315cKㄱ
E566409,에듀케이션,김승일,문학과지성사,2015,인문과학자료실(3층),811.7 김57ㅇ
E566410,역사는 사라지지 않는다,배기성,월요일의꿈,2026,인문과학자료실(3층),911.07 배17ㅇ
E566411,오늘을 바꾸는 과학,울림,동아시아,2026,사회자연과학자료실(2층),404 울298ㅇ
E566412,온갖 근심,"Leky, Mariana",H(현대문학),2026,인문과학자료실(3층),853 L536kKㅈ
E566413,완벽한 원시인,자청,필로틱,2026,커뮤니티라운지(1층-인기도서),325.211 자83ㅇ
E566414,욕망의 음식,연호탁,글항아리,2026,사회자연과학자료실(2층),594.019 연95ㅇ
E566415,우아한 사고를 위한 철학,"Ruiz, Jos Carlos",북하우스,2026,인문과학자료실(3층),100 R934iKㄱ
E566416,우정의 미적분,"Strogatz, Steven",프시케의숲,2026,사회자연과학자료실(2층),410 S921cKㄱ
E566417,운동하면 좋은 걸 누가 모르냐고요,하주원,반비,2026,커뮤니티라운지(1층-인기도서),185.3 하76ㅇ
E566418,유전자의 기억,"De Groot, Jerome",이상북스,2026,사회자연과학자료실(2층),476.1 D321dKㅈ
E566419,의자병,최성민,세종(세종서적),2026,사회자연과학자료실(2층),517.32 최54ㅇ
E566420,이것이 금융 취업 입문서이다,김정환,BM성안당,2024,사회자연과학자료실(2층),327.077 김74ㅇ
E566421,이상능력자,함설기,책깃,2026,인문과학자료실(3층),813.7 함54ㅇ
E566422,인구정책 대전환 700일의 기록,주형환,21세기북스,2026,사회자연과학자료실(2층),331.3 주94ㅇ
E566423,"인문 여행자, 사라진 시간을 걷다",김경한,쌤앤파커스,2026,커뮤니티라운지(1층-인기도서),001.3 김13ㅇ
E566424,인생은 행복으로 완성되지 않는다,"Oishi, Shigehiro",위즈덤하우스,2026,커뮤니티라운지(1층-인기도서),189.1 O39lKㅅ
E566425,인생을 위한 최소한의 생각,신영준,상상스퀘어,2026,커뮤니티라운지(1층-인기도서),199.8 신64ㅇ
E566426,인스타그램은 왜 공짜일까?,이완배,북트리거,2026,사회자연과학자료실(2층),325.555 이65ㅇ
E566427,일의 빡침과 기쁨,오이웍스,Aamu press,2026,인문과학자료실(3층),818 오68ㅇ
E566428,쟤는 폰만 보는데 왜 돈이 많을까,긍정필터,모티브,2026,커뮤니티라운지(1층-인기도서),325.555 긍74ㅈ
E566429,전기 공유압 제어 이론 및 실습,윤홍식,광문각,2026,사회자연과학자료실(2층),551.16 윤95ㅈ2
E566430,전시로 보는 페미니즘 미술,고경옥,현실문화,2026,사회자연과학자료실(2층),609.11 고13ㅈ
E566431,전자전기 기초실험,이태봉,복두출판사,2023,사회자연과학자료실(2층),560.73 이883ㅈ3
E566432,정밀측정,최부희,D.B. Info,2026,사회자연과학자료실(2층),530.22 최46ㅈ6
E566433,제비는 돌아오지 않는다,桐野夏生,해피북스투유,2026,인문과학자료실(3층),833.6 동63ㅇKㄱ
